timestamp,open,high,low,close,volume,returns,MA_7,MA_10
2025-04-27,1820.87,1857.47,1781.9,1791.29,340332.6435,-0.01625038442950666,1756.76,1708.655
2025-04-28,1791.29,1827.98,1744.71,1799.88,587269.743,0.004795426759486299,1788.2328571428573,1729.783
2025-04-29,1799.88,1842.99,1780.47,1797.81,480456.3884,-0.001150076671778244,1794.1685714285716,1748.2369999999999
2025-04-30,1797.81,1816.8,1731.7,1793.61,473523.9877,-0.0023361756804112233,1793.9600000000003,1768.8619999999999
2025-05-01,1793.62,1873.17,1792.52,1838.11,537198.7291,0.02481029878290153,1803.7399999999998,1794.716
2025-05-02,1838.1,1871.0,1813.0,1842.2,410667.875,0.002225111663611168,1811.9685714285715,1803.31
2025-05-03,1842.2,1848.6,1810.0,1833.52,213751.5979,-0.0047117576810336015,1813.7742857142857,1807.155
2025-05-04,1833.52,1849.95,1803.0,1808.86,238254.3564,-0.013449539683232259,1816.2842857142857,1811.0759999999998
2025-05-05,1808.86,1833.55,1781.85,1820.19,342341.0078,0.0062636135466538345,1819.185714285714,1814.6349999999998
2025-05-06,1820.19,1820.9,1752.0,1817.0,384584.2451,-0.0017525642927387342,1821.9271428571428,1814.247
2025-05-07,1817.0,1850.0,1787.01,1811.11,456170.0705,-0.003241607044578987,1824.4271428571428,1816.229
2025-05-08,1811.11,2226.0,1808.71,2207.39,1473152.686,0.2188050422116823,1877.1814285714286,1856.98
2025-05-09,2207.39,2490.77,2184.33,2345.04,1667041.0382,0.06235871323146336,1949.0157142857145,1911.703
2025-05-10,2345.04,2600.0,2317.0,2583.23,979350.1606,0.1015718281990925,2056.117142857143,1990.6650000000002
2025-05-11,2583.22,2608.13,2435.51,2514.57,831584.3888,-0.02657912768123627,2156.9328571428573,2058.311
2025-05-12,2514.58,2624.0,2406.63,2495.47,1068680.9433,-0.007595732073475969,2253.4014285714284,2123.638
2025-05-13,2495.48,2738.5,2415.3,2679.71,1031355.6465,0.0738297795605638,2376.6457142857143,2208.257
2025-05-14,2679.71,2725.99,2547.26,2609.74,830047.1122,-0.026111034402976574,2490.735714285714,2288.345
2025-05-15,2609.75,2647.03,2476.03,2548.69,768954.0332,-0.02339313494830897,2539.4928571428572,2361.195
2025-05-16,2548.7,2649.31,2529.4,2537.12,605953.6919,-0.00453958700351953,2566.932857142857,2433.207
2025-05-17,2537.13,2538.16,2446.42,2475.08,494333.2782,-0.024452922999306237,2551.4828571428566,2499.6040000000003
2025-05-18,2475.09,2587.61,2323.21,2497.78,810103.1851,0.009171420721754586,2549.0842857142857,2528.643
2025-05-19,2497.78,2547.36,2348.38,2528.14,861747.523,0.012154793456589319,2553.7514285714287,2546.953
2025-05-20,2528.14,2588.63,2442.4,2524.19,676989.1747,-0.001562413473937263,2531.5342857142855,2541.049
2025-05-21,2524.19,2615.95,2452.2,2550.99,1095890.2902,0.010617267321398005,2523.141428571428,2544.691
2025-05-22,2551.0,2692.99,2544.83,2664.82,852555.6669,0.044621891892951515,2539.7314285714288,2561.6259999999997
2025-05-23,2664.83,2734.23,2498.3,2526.5,971442.4532,-0.05190594486682032,2538.214285714286,2546.305
2025-05-24,2526.49,2575.85,2515.08,2530.4,257544.2344,0.0015436374431030409,2546.117142857143,2538.371
2025-05-25,2530.41,2554.26,2463.0,2551.22,359890.0299,0.008227948150489883,2553.7514285714283,2538.624
2025-05-26,2551.22,2599.0,2525.86,2563.7,362971.1182,0.004891777267346686,2558.8314285714287,2541.282
2025-05-27,2563.7,2712.36,2509.46,2660.81,798430.8862,0.0378788469789757,2578.348571428571,2559.855
2025-05-28,2660.81,2689.14,2608.5,2681.6,560095.6833,0.007813410202156534,2597.0071428571428,2578.237
2025-05-29,2681.61,2788.0,2619.05,2631.39,811567.2545,-0.01872389618138426,2592.2314285714283,2588.562
2025-05-30,2631.39,2649.23,2507.35,2531.34,763045.2564,-0.038021729960211026,2592.922857142857,2589.277
2025-05-31,2531.35,2550.34,2475.33,2528.06,394537.2521,-0.0012957563977973319,2592.5885714285714,2586.984
2025-06-01,2528.06,2547.79,2468.56,2539.21,332021.7088,0.004410496586315205,2590.8728571428574,2574.423
2025-06-02,2539.2,2615.0,2475.0,2607.41,468889.9737,0.026858747405689165,2597.117142857143,2582.514
2025-06-03,2607.42,2655.38,2575.0,2593.36,454383.0439,-0.00538848896030919,2587.4814285714283,2588.81
2025-06-04,2593.35,2679.88,2583.5,2607.68,502494.8214,0.005521794120368906,2576.921428571429,2594.456
2025-06-05,2607.68,2640.86,2391.66,2414.01,808938.0344,-0.0742690820959625,2545.867142857143,2579.487
2025-06-06,2414.02,2531.36,2381.49,2476.1,578843.4974,0.02572068881239087,2537.9757142857147,2561.016
2025-06-07,2476.1,2544.36,2457.0,2524.63,264787.6743,0.019599369976980086,2537.485714285714,2545.319
2025-06-08,2524.64,2548.63,2490.58,2509.83,266474.7139,-0.005862245160677126,2533.2885714285717,2533.163
2025-06-09,2509.84,2693.99,2477.73,2680.13,568726.3025,0.06785320121283123,2543.6771428571433,2548.0420000000004
2025-06-10,2680.13,2827.0,2655.61,2816.4,1138405.4775,0.05084454858532972,2575.54,2576.8759999999997
2025-06-11,2816.41,2879.22,2743.75,2771.61,850210.9324,-0.015903280783979512,2598.9585714285713,2600.116
2025-06-12,2771.6,2784.83,2616.24,2642.65,699593.3757,-0.04652891279797666,2631.621428571429,2603.6400000000003
2025-06-13,2642.66,2645.45,2436.98,2579.19,1202176.2972,-0.024013774052560888,2646.3485714285716,2602.223
