Price,Close,High,Low,Open,Volume,Return,Weekly Moving Average
2025-10-23 13:36:00+00:00,259.04229736328125,259.30999755859375,258.9700012207031,259.0787048339844,58591,-0.00014547325512481724,259.18961443219865
2025-10-23 13:37:00+00:00,258.4036865234375,259.218994140625,258.3900146484375,259.05718994140625,100276,-0.0024652763133433675,259.0901402064732
2025-10-23 13:38:00+00:00,258.75,258.7900085449219,258.37799072265625,258.37799072265625,157625,0.0013402033121965307,259.0222821916853
2025-10-23 13:39:00+00:00,258.7099914550781,258.9798889160156,258.69000244140625,258.75,89729,-0.00015462239583330373,258.9208504813058
2025-10-23 13:40:00+00:00,258.5400085449219,258.8699951171875,258.5199890136719,258.7373962402344,65417,-0.0006570403763697108,258.8151375906808
2025-10-23 13:41:00+00:00,258.1449890136719,258.5,258.1199951171875,258.5,122642,-0.0015278855039619899,258.6672799246652
2025-10-23 13:42:00+00:00,258.3800048828125,258.489990234375,258.1400146484375,258.1499938964844,100074,0.0009104025998667442,258.5672825404576
2025-10-23 13:43:00+00:00,258.69500732421875,258.909912109375,258.4100036621094,258.4100036621094,96122,0.0012191440338005233,258.5176696777344
2025-10-23 13:44:00+00:00,258.5,258.7300109863281,258.3399963378906,258.7300109863281,75766,-0.0007538117037347858,258.5314287458147
2025-10-23 13:45:00+00:00,258.930908203125,259.07000732421875,258.4849853515625,258.4849853515625,78743,0.0016669562983560038,258.5572727748326
2025-10-23 13:46:00+00:00,258.70599365234375,258.95989990234375,258.69000244140625,258.92999267578125,83855,-0.0008686276672880133,258.55670166015625
2025-10-23 13:47:00+00:00,258.8299865722656,258.8299865722656,258.60791015625,258.67999267578125,73989,0.00047928120323526,258.59812709263394
2025-10-23 13:48:00+00:00,258.70001220703125,258.989990234375,258.6080017089844,258.8684997558594,111901,-0.0005021611558831962,258.6774161202567
2025-10-23 13:49:00+00:00,258.7449951171875,258.8500061035156,258.6099853515625,258.68499755859375,89860,0.00017388058768341708,258.7295575823103
2025-10-23 13:50:00+00:00,258.8800048828125,258.9599914550781,258.739990234375,258.739990234375,68901,0.0005217869646672035,258.75598580496654
2025-10-23 13:51:00+00:00,258.93499755859375,258.989990234375,258.7799987792969,258.95001220703125,94471,0.00021242535052534706,258.81812831333707
2025-10-23 13:52:00+00:00,258.68499755859375,259.1199951171875,258.6700134277344,259.0,196955,-0.0009654932796151483,258.78299822126115
2025-10-23 13:53:00+00:00,258.9735107421875,259.1000061035156,258.7099914550781,258.760009765625,92023,0.0011153069807552374,258.8212149483817
2025-10-23 13:54:00+00:00,258.6099853515625,259.02130126953125,258.54998779296875,259.0150146484375,74424,-0.0014037165020591713,258.789786202567
2025-10-23 13:55:00+00:00,258.9800109863281,259.114990234375,258.6105041503906,258.6105041503906,55725,0.001430825009570258,258.8297860281808
2025-10-23 13:56:00+00:00,258.8789978027344,259.1400146484375,258.8599853515625,258.9849853515625,63645,-0.00039004239442663735,258.8489292689732
2025-10-23 13:57:00+00:00,258.34130859375,258.8500061035156,258.30010986328125,258.8500061035156,73347,-0.002076990460980088,258.77197265625
2025-10-23 13:58:00+00:00,258.0215148925781,258.3349914550781,258.0215148925781,258.3349914550781,175952,-0.0012378728857287413,258.64147513253346
2025-10-23 13:59:00+00:00,258.3500061035156,258.3900146484375,258.0101013183594,258.0199890136719,115977,0.0012731155813663353,258.5936192103795
2025-10-23 14:00:00+00:00,258.67999267578125,258.80999755859375,258.3900146484375,258.3900146484375,82463,0.0012772849408542175,258.5516880580357
2025-10-23 14:01:00+00:00,258.614990234375,258.8500061035156,258.5600891113281,258.65008544921875,67328,-0.00025128515249228656,258.55240304129467
2025-10-23 14:02:00+00:00,258.56500244140625,258.69500732421875,258.3900146484375,258.635009765625,67070,-0.00019329039249982305,258.4931161063058
2025-10-23 14:03:00+00:00,258.6300048828125,258.7398986816406,258.4800109863281,258.5885009765625,60509,0.00025139690519782043,258.4575456891741
2025-10-23 14:04:00+00:00,258.489990234375,258.69000244140625,258.4200134277344,258.61090087890625,97953,-0.0005413704744000603,258.4787859235491
2025-10-23 14:05:00+00:00,258.385009765625,258.5199890136719,258.2250061035156,258.510009765625,78434,-0.0004061297253902252,258.5307137625558
2025-10-23 14:06:00+00:00,258.45001220703125,258.4599914550781,258.3299865722656,258.3900146484375,59985,0.0002515720299145485,258.5450003487723
2025-10-23 14:07:00+00:00,258.3999938964844,258.4700012207031,258.2900085449219,258.43499755859375,75840,-0.00019353185600479161,258.50500052315846
2025-10-23 14:08:00+00:00,258.385009765625,258.489990234375,258.260009765625,258.44500732421875,91940,-5.798812389046226e-05,258.4721461704799
2025-10-23 14:09:00+00:00,258.2550048828125,258.50360107421875,258.2034912109375,258.3800048828125,73854,-0.0005031440598292081,258.42786080496654
2025-10-23 14:10:00+00:00,258.2699890136719,258.32000732421875,258.1199951171875,258.260009765625,55323,5.80206794682514e-05,258.37642996651783
2025-10-23 14:11:00+00:00,258.3900146484375,258.4200134277344,258.1404113769531,258.32000732421875,42195,0.0004647293137851616,258.36214773995533
2025-10-23 14:12:00+00:00,258.6499938964844,258.739990234375,258.4100036621094,258.42498779296875,94912,0.0010061505217242583,258.4000026157924
2025-10-23 14:13:00+00:00,258.69000244140625,258.7099914550781,258.510009765625,258.6510009765625,40935,0.00015468218003467094,258.43428693498885
2025-10-23 14:14:00+00:00,259.20001220703125,259.2298889160156,258.6499938964844,258.6700134277344,99978,0.001971509377292291,258.548575265067
2025-10-23 14:15:00+00:00,259.22119140625,259.3304138183594,259.110595703125,259.17169189453125,77904,8.170986968103477e-05,258.66802978515625
2025-10-23 14:16:00+00:00,259.20001220703125,259.2799987792969,259.0400085449219,259.2250061035156,76874,-8.170319372369228e-05,258.8030308314732
2025-10-23 14:17:00+00:00,259.1199951171875,259.27178955078125,259.0133056640625,259.19000244140625,83426,-0.0003087078938092125,258.9244602748326
